CV182x,750Mhz,2021-12-12
Net,Inference Cycle(ms)
resnet50_bs1,31.03
resnet18_bs1,12.73
mobilenet_v1_bs1,5.30
mobilenet_v2_bs1,5.60
squeezenet_v1.1_bs1,3.59
shufflenet_v2_bs1,1.30
googlenet_bs1,13.94
inception_v3_bs1,39.34
densenet_121_bs1,28.55
densenet_201_bs1,58.10
senet_res50_bs1,42.47
resnext50_bs1,38.02
efficientnet-lite_b0_bs1,5.62
nasnet_mobile_bs1,10.99
retinaface_mnet25_bs1,2.60
retinaface_mnet25_600_bs1,10.61
retinaface_res50_bs1,366.91
mobilenet_ssd_bs1,11.63
yolo_v1_448_bs1,15.89
yolo_v2_416_bs1,195.46
yolo_v3_320_bs1,125.51
yolo_v3_tiny_bs1,19.01
yolo_v4_s_bs1,80.77
yolo_v5_s_bs1,73.15
yolox_s_bs1,100.12
arcface_res50_bs1,45.42
alphapose_bs1,48.04
